00TI               20241203                                                                                   
0601TIA0N       20250101000965100000005000 0000000000001460   
0601TIA0N       20250101000970100000005000 0000000000001470   
0601TIA0N       20250101000975100000005000 0000000000001470   
0601TIA0N       20250101000980100000005000 0000000000001480   
0601TIA0N       20250101000985100000005000 0000000000001480   
0601TIA0N       20250101000990100000005000 0000000000001490   
0601TIA0N       20250101000995100000005000 0000000000001490   
0601TIA0N       20250101001000100000005000 0000000000001500   
0601TIA0N       20250101001005100000005000 0000000000001500   
0601TIA0N       20250101001010100000005000 0000000000001510   
0601TIA0N       20250101001015100000005000 0000000000001510   
0601TIA0N       20250101001020100000005000 0000000000001520   
0601TIA0N       20250101001025100000005000 0000000000001520   
0601TIA0N       20250101001030100000005000 0000000000001530   
0601TIA0N       20250101001035100000005000 0000000000001530   
0601TIA0N       20250101001040100000005000 0000000000001540   
0601TIA0N       20250101001045100000005000 0000000000001540   
0601TIA0N       20250101001050100000005000 0000000000001550   
0601TIA0N       20250101001055100000005000 0000000000001550   
0601TIA0N       20250101001060100000005000 0000000000001560   
0601TIA0N       20250101001065100000005000 0000000000001560   
0601TIA0N       20250101001070100000005000 0000000000001560   
0601TIA0N       20250101001075100000005000 0000000000001570   
0601TIA0N       20250101001080100000005000 0000000000001570   
0601TIA0N       20250101001085100000005000 0000000000001580   
0601TIA0N       20250101001090100000005000 0000000000001580   
0601TIA0N       20250101001095100000005000 0000000000001580   
0601TIA0N       20250101001100100000005000 0000000000001590   
0601TIA0N       20250101001105100000005000 0000000000001590   
0601TIA0N       20250101001110100000005000 0000000000001600   
0601TIA0N       20250101001115100000005000 0000000000001600   
0601TIA0N       20250101001120100000005000 0000000000001600   
0601TIA0N       20250101001125100000005000 0000000000001610   
0601TIA0N       20250101001130100000005000 0000000000001610   
0601TIA0N       20250101001135100000005000 0000000000001620   
0601TIA0N       20250101001140100000005000 0000000000001620   
0601TIA0N       20250101001145100000005000 0000000000001630   
0601TIA0N       20250101001150100000005000 0000000000001630   
0601TIA0N       20250101001155100000005000 0000000000001630   
0601TIA0N       20250101001160100000005000 0000000000001640   
0601TIA0N       20250101001165100000005000 0000000000001650   
0601TIA0N       20250101001170100000005000 0000000000001650   
0601TIA0N       20250101001175100000005000 0000000000001650   
0601TIA0N       20250101001180100000005000 0000000000001660   
0601TIA0N       20250101001185100000005000 0000000000001670   
0601TIA0N       20250101001190100000005000 0000000000001670   
0601TIA0N       20250101001195100000005000 0000000000001670   
