00BE               20231130                                                                                   
0601BEA0N       20240101002275100000005000 0000000000002608   
0601BEA0N       20240101002280100000005000 0000000000002611   
0601BEA0N       20240101002285100000005000 0000000000002614   
0601BEA0N       20240101002290100000005000 0000000000002616   
0601BEA0N       20240101002295100000005000 0000000000002618   
0601BEA0N       20240101002300100000005000 0000000000002621   
0601BEA0N       20240101002305100000005000 0000000000002623   
0601BEA0N       20240101002310100000005000 0000000000002625   
0601BEA0N       20240101002315100000005000 0000000000002628   
0601BEA0N       20240101002320100000005000 0000000000002630   
0601BEA0N       20240101002325100000005000 0000000000002632   
0601BEA0N       20240101002330100000005000 0000000000002635   
0601BEA0N       20240101002335100000005000 0000000000002637   
0601BEA0N       20240101002340100000005000 0000000000002639   
0601BEA0N       20240101002345100000005000 0000000000002642   
0601BEA0N       20240101002350100000005000 0000000000002644   
0601BEA0N       20240101002355100000005000 0000000000002646   
0601BEA0N       20240101002360100000005000 0000000000002649   
0601BEA0N       20240101002365100000005000 0000000000002651   
0601BEA0N       20240101002370100000005000 0000000000002653   
0601BEA0N       20240101002375100000005000 0000000000002655   
0601BEA0N       20240101002380100000005000 0000000000002658   
0601BEA0N       20240101002385100000005000 0000000000002660   
0601BEA0N       20240101002390100000005000 0000000000002662   
0601BEA0N       20240101002395100000005000 0000000000002665   
0601BEA0N       20240101002400100000005000 0000000000002667   
0601BEA0N       20240101002405100000005000 0000000000002669   
0601BEA0N       20240101002410100000005000 0000000000002672   
0601BEA0N       20240101002415100000005000 0000000000002674   
0601BEA0N       20240101002420100000005000 0000000000002676   
0601BEA0N       20240101002425100000005000 0000000000002679   
0601BEA0N       20240101002430100000005000 0000000000002681   
0601BEA0N       20240101002435100000005000 0000000000002683   
0601BEA0N       20240101002440100000005000 0000000000002686   
0601BEA0N       20240101002445100000005000 0000000000002687   
0601BEA0N       20240101002450100000005000 0000000000002689   
0601BEA0N       20240101002455100000005000 0000000000002692   
0601BEA0N       20240101002460100000005000 0000000000002694   
0601BEA0N       20240101002465100000005000 0000000000002696   
0601BEA0N       20240101002470100000005000 0000000000002699   
0601BEA0N       20240101002475100000005000 0000000000002701   
0601BEA0N       20240101002480100000005000 0000000000002702   
0601BEA0N       20240101002485100000005000 0000000000002705   
0601BEA0N       20240101002490100000005000 0000000000002707   
0601BEA0N       20240101002495100000005000 0000000000002709   
